ass1;ass2;sol
05.568;05.555;0.0701219512195122
05.568;05.556;0.0716463414634146
05.568;05.557;0.0945121951219512
05.568;05.558;0.0960365853658536
05.568;05.559;0
05.568;05.560;0
05.568;05.561;0.0807926829268293
05.568;05.562;0.0670731707317073
05.568;05.563;0
05.568;05.564;0.0762195121951219
05.568;05.565;0.0731707317073171
05.568;05.566;0.0792682926829268
05.568;05.567;0.0823170731707317
05.568;05.568;0
05.568;05.569;0.0685975609756098
05.568;05.570;0.196646341463415
05.568;05.571;0.0685975609756098
05.568;05.572;0.108231707317073
05.568;05.573;0.086890243902439
05.568;05.574;0.0762195121951219
05.568;05.575;0.189024390243902
05.568;05.576;0.0807926829268293
05.568;05.577;0
05.568;05.578;0
05.568;05.579;0.048780487804878
05.568;05.580;0
05.568;05.581;0.0777439024390244
05.568;05.582;0.0640243902439024
05.568;05.583;0.125
